shipment_id,warehouse,delivery_time,transportation_cost,inventory_level,order_status
S001,Hyderabad,2,450,120,Delivered
S002,Vijayawada,3,380,85,Delivered
S003,Hyderabad,,520,45,Delayed
S004,Guntur,5,600,30,Delayed
S005,Vijayawada,2,410,95,Delivered
S006,Hyderabad,4,,60,Delivered
S007,Guntur,6,750,20,Delayed
S008,Vijayawada,3,390,,Delivered
S009,Hyderabad,2,470,110,Delivered
S010,Guntur,7,820,15,Delayed
S011,Vijayawada,4,430,75,Delivered
S012,Hyderabad,3,500,55,Delivered
S013,Guntur,8,900,10,Delayed
S014,Vijayawada,,420,90,Delivered
S015,Hyderabad,5,650,40,Delayed
